Case ID,Activity,Complete Timestamp,amount,article,dismissal,expense,lastSent,matricola,notificationType,org:resource,paymentAmount,points,totalPaymentAmount,vehicleClass,Label
A1327,Create Fine,2006-08-13,35.0,157.0,NIL,,,,,559.0,,0.0,0.0,A,0
A1327,Send Fine,2006-12-13,,,,22.0,,,,,,,,,0
A1327,Insert Fine Notification,2007-01-03,,,,,P,,P,,,,,,0
A1327,Insert Date Appeal to Prefecture,2007-02-22,,,,,,,,,,,,,0
A1327,Add penalty,2007-03-04,71.5,,,,,,,,,,,,0
A1327,Send Appeal to Prefecture,2007-04-06,,,NIL,,,,,,,,,,0
A1327,Receive Result Appeal from Prefecture,2007-06-29,,,,,,,,,,,,,0
A1327,Notify Result Appeal to Offender,2007-07-10,,,,,,,,,,,,,0
A13617,Create Fine,2007-06-15,36.0,157.0,NIL,,,,,558.0,,0.0,0.0,A,1
A13617,Send Fine,2007-08-22,,,,22.0,,,,,,,,,1
A13617,Insert Fine Notification,2007-09-03,,,,,P,,P,,,,,,1
A13617,Insert Date Appeal to Prefecture,2007-09-20,,,,,,,,,,,,,1
A13617,Send Appeal to Prefecture,2007-10-30,,,NIL,,,,,,,,,,1
A13617,Add penalty,2007-11-02,74.0,,,,,,,,,,,,1
A13617,Receive Result Appeal from Prefecture,2007-11-09,,,,,,,,,,,,,1
A13617,Notify Result Appeal to Offender,2007-11-17,,,,,,,,,,,,,1
A13984,Create Fine,2007-06-16,36.0,157.0,NIL,,,,,561.0,,0.0,0.0,A,0
A13984,Send Fine,2007-08-22,,,,26.0,,,,,,,,,0
A13984,Insert Fine Notification,2007-08-28,,,,,P,,P,,,,,,0
A13984,Add penalty,2007-10-27,74.0,,,,,,,,,,,,0
A13984,Insert Date Appeal to Prefecture,2008-08-22,,,,,,,,,,,,,0
A13984,Receive Result Appeal from Prefecture,2008-09-06,,,,,,,,,,,,,0
A13984,Notify Result Appeal to Offender,2008-09-16,,,,,,,,,,,,,0
A13984,Payment,2009-08-06,,,,,,,,,98.0,,98.0,,0
A14652,Create Fine,2007-09-04,36.0,157.0,NIL,,,,,550.0,,0.0,0.0,A,1
A14652,Send Fine,2007-12-27,,,,26.0,,,,,,,,,1
A14652,Insert Fine Notification,2008-01-11,,,,,P,,P,,,,,,1
A14652,Insert Date Appeal to Prefecture,2008-01-16,,,,,,,,,,,,,1
A14652,Send Appeal to Prefecture,2008-02-20,,,NIL,,,,,,,,,,1
A14652,Add penalty,2008-03-11,74.0,,,,,,,,,,,,1
A14652,Receive Result Appeal from Prefecture,2008-05-20,,,,,,,,,,,,,1
A14652,Notify Result Appeal to Offender,2008-07-18,,,,,,,,,,,,,1
A14910,Create Fine,2007-06-06,36.0,157.0,NIL,,,,,560.0,,0.0,0.0,A,1
A14910,Send Fine,2007-08-22,,,,22.0,,,,,,,,,1
A14910,Insert Fine Notification,2007-08-28,,,,,P,,P,,,,,,1
A14910,Insert Date Appeal to Prefecture,2007-09-04,,,,,,,,,,,,,1
A14910,Send Appeal to Prefecture,2007-10-12,,,NIL,,,,,,,,,,1
A14910,Add penalty,2007-10-27,74.0,,,,,,,,,,,,1
A14910,Receive Result Appeal from Prefecture,2007-10-31,,,,,,,,,,,,,1
A14910,Notify Result Appeal to Offender,2007-11-08,,,,,,,,,,,,,1
A15045,Create Fine,2007-06-17,36.0,157.0,NIL,,,,,563.0,,0.0,0.0,A,0
A15045,Send Fine,2007-08-22,,,,22.0,,,,,,,,,0
A15045,Insert Fine Notification,2007-08-30,,,,,P,,P,,,,,,0
A15045,Insert Date Appeal to Prefecture,2007-10-22,,,,,,,,,,,,,0
A15045,Add penalty,2007-10-29,74.0,,,,,,,,,,,,0
A15045,Send Appeal to Prefecture,2007-12-07,,,NIL,,,,,,,,,,0
A15045,Receive Result Appeal from Prefecture,2007-12-18,,,,,,,,,,,,,0
A15045,Notify Result Appeal to Offender,2007-12-21,,,,,,,,,,,,,0
A15202,Create Fine,2007-08-01,22.0,7.0,NIL,,,,,550.0,,0.0,0.0,A,0
A15202,Send Fine,2007-12-10,,,,26.0,,,,,,,,,0
A15202,Insert Fine Notification,2007-12-27,,,,,P,,P,,,,,,0
A15202,Insert Date Appeal to Prefecture,2008-01-07,,,,,,,,,,,,,0
A15202,Send Appeal to Prefecture,2008-02-08,,,NIL,,,,,,,,,,0
A15202,Add penalty,2008-02-25,44.0,,,,,,,,,,,,0
A15202,Receive Result Appeal from Prefecture,2008-02-29,,,,,,,,,,,,,0
A15202,Notify Result Appeal to Offender,2008-03-12,,,,,,,,,,,,,0
A155,Create Fine,2006-07-30,21.0,7.0,NIL,,,,,541.0,,0.0,0.0,A,0
A155,Send Fine,2006-12-12,,,,22.0,,,,,,,,,0
A155,Insert Fine Notification,2007-01-15,,,,,P,,P,,,,,,0
A155,Add penalty,2007-03-16,42.5,,,,,,,,,,,,0
A155,Insert Date Appeal to Prefecture,2007-04-23,,,,,,,,,,,,,0
A155,Send Appeal to Prefecture,2007-06-01,,,NIL,,,,,,,,,,0
A155,Receive Result Appeal from Prefecture,2007-08-07,,,,,,,,,,,,,0
A155,Notify Result Appeal to Offender,2007-09-06,,,,,,,,,,,,,0
A15866,Create Fine,2007-09-08,36.0,157.0,NIL,,,,,537.0,,0.0,0.0,A,0
A15866,Send Fine,2007-12-27,,,,26.0,,,,,,,,,0
A15866,Insert Fine Notification,2008-01-08,,,,,P,,P,,,,,,0
A15866,Insert Date Appeal to Prefecture,2008-01-15,,,,,,,,,,,,,0
A15866,Send Appeal to Prefecture,2008-02-20,,,NIL,,,,,,,,,,0
A15866,Receive Result Appeal from Prefecture,2008-02-27,,,,,,,,,,,,,0
A15866,Notify Result Appeal to Offender,2008-03-05,,,,,,,,,,,,,0
A15866,Add penalty,2008-03-08,74.0,,,,,,,,,,,,0
A15873,Create Fine,2007-09-10,36.0,157.0,NIL,,,,,537.0,,0.0,0.0,A,1
A15873,Send Fine,2007-12-27,,,,26.0,,,,,,,,,1
A15873,Insert Fine Notification,2008-01-05,,,,,P,,P,,,,,,1
A15873,Insert Date Appeal to Prefecture,2008-03-04,,,,,,,,,,,,,1
A15873,Add penalty,2008-03-05,74.0,,,,,,,,,,,,1
A15873,Send Appeal to Prefecture,2008-04-08,,,NIL,,,,,,,,,,1
A15873,Receive Result Appeal from Prefecture,2008-06-11,,,,,,,,,,,,,1
A15873,Notify Result Appeal to Offender,2008-06-16,,,,,,,,,,,,,1
A16006,Create Fine,2007-09-15,36.0,157.0,NIL,,,,,537.0,,0.0,0.0,A,1
A16006,Send Fine,2007-12-27,,,,26.0,,,,,,,,,1
A16006,Insert Fine Notification,2008-01-11,,,,,P,,P,,,,,,1
A16006,Insert Date Appeal to Prefecture,2008-01-19,,,,,,,,,,,,,1
A16006,Send Appeal to Prefecture,2008-02-20,,,NIL,,,,,,,,,,1
A16006,Add penalty,2008-03-11,74.0,,,,,,,,,,,,1
A16006,Receive Result Appeal from Prefecture,2008-05-20,,,,,,,,,,,,,1
A16006,Notify Result Appeal to Offender,2008-07-18,,,,,,,,,,,,,1
A16141,Create Fine,2007-10-15,36.0,157.0,NIL,,,,,550.0,,0.0,0.0,A,0
A16141,Send Fine,2008-01-18,,,,26.0,,,,,,,,,0
A16141,Insert Fine Notification,2008-01-30,,,,,P,,P,,,,,,0
A16141,Add penalty,2008-03-30,74.0,,,,,,,,,,,,0
A16141,Insert Date Appeal to Prefecture,2008-07-15,,,,,,,,,,,,,0
A16141,Send Appeal to Prefecture,2008-09-01,,,#,,,,,,,,,,0
A16141,Receive Result Appeal from Prefecture,2008-09-11,,,,,,,,,,,,,0
A16141,Notify Result Appeal to Offender,2008-09-17,,,,,,,,,,,,,0
A1615,Create Fine,2006-08-14,35.0,157.0,NIL,,,,,561.0,,0.0,0.0,A,1
A1615,Send Fine,2006-12-13,,,,22.0,,,,,,,,,1
A1615,Insert Fine Notification,2007-01-03,,,,,P,,P,,,,,,1
A1615,Insert Date Appeal to Prefecture,2007-02-06,,,,,,,,,,,,,1
A1615,Add penalty,2007-03-04,71.5,,,,,,,,,,,,1
A1615,Send Appeal to Prefecture,2007-03-23,,,NIL,,,,,,,,,,1
A1615,Receive Result Appeal from Prefecture,2007-06-20,,,,,,,,,,,,,1
A1615,Notify Result Appeal to Offender,2007-07-04,,,,,,,,,,,,,1
A16320,Create Fine,2007-07-08,36.0,157.0,NIL,,,,,561.0,,0.0,0.0,A,0
A16320,Send Fine,2007-09-13,,,,26.0,,,,,,,,,0
A16320,Insert Fine Notification,2007-10-04,,,,,P,,P,,,,,,0
A16320,Add penalty,2007-12-03,74.0,,,,,,,,,,,,0
A16320,Insert Date Appeal to Prefecture,2008-02-01,,,,,,,,,,,,,0
A16320,Send Appeal to Prefecture,2008-02-12,,,NIL,,,,,,,,,,0
A16320,Receive Result Appeal from Prefecture,2008-02-29,,,,,,,,,,,,,0
A16320,Notify Result Appeal to Offender,2008-03-06,,,,,,,,,,,,,0
A16773,Create Fine,2007-07-08,36.0,157.0,NIL,,,,,560.0,,0.0,0.0,A,0
A16773,Send Fine,2007-09-29,,,,26.0,,,,,,,,,0
A16773,Insert Fine Notification,2007-10-13,,,,,P,,P,,,,,,0
A16773,Insert Date Appeal to Prefecture,2007-10-23,,,,,,,,,,,,,0
A16773,Send Appeal to Prefecture,2007-11-28,,,NIL,,,,,,,,,,0
A16773,Add penalty,2007-12-12,74.0,,,,,,,,,,,,0
A16773,Receive Result Appeal from Prefecture,2008-01-31,,,,,,,,,,,,,0
A16773,Notify Result Appeal to Offender,2008-02-06,,,,,,,,,,,,,0
A17210,Create Fine,2007-08-19,36.0,157.0,NIL,,,,,558.0,,0.0,0.0,A,0
A17210,Send Fine,2008-04-17,,,,26.0,,,,,,,,,0
A17210,Insert Fine Notification,2008-04-23,,,,,P,,P,,,,,,0
A17210,Insert Date Appeal to Prefecture,2008-04-30,,,,,,,,,,,,,0
A17210,Send Appeal to Prefecture,2008-05-12,,,NIL,,,,,,,,,,0
A17210,Receive Result Appeal from Prefecture,2008-06-10,,,,,,,,,,,,,0
A17210,Notify Result Appeal to Offender,2008-06-12,,,,,,,,,,,,,0
A17210,Add penalty,2008-06-22,74.0,,,,,,,,,,,,0
A18290,Create Fine,2007-07-12,36.0,157.0,NIL,,,,,564.0,,0.0,0.0,A,1
A18290,Send Fine,2007-10-31,,,,26.0,,,,,,,,,1
A18290,Insert Fine Notification,2007-11-08,,,,,P,,P,,,,,,1
A18290,Insert Date Appeal to Prefecture,2007-12-03,,,,,,,,,,,,,1
A18290,Add penalty,2008-01-07,74.0,,,,,,,,,,,,1
A18290,Send Appeal to Prefecture,2008-01-21,,,NIL,,,,,,,,,,1
A18290,Receive Result Appeal from Prefecture,2008-05-28,,,,,,,,,,,,,1
A18290,Notify Result Appeal to Offender,2008-07-17,,,,,,,,,,,,,1
A18742,Create Fine,2007-09-16,36.0,157.0,NIL,,,,,558.0,,0.0,0.0,A,1
A18742,Send Fine,2008-01-18,,,,26.0,,,,,,,,,1
A18742,Insert Fine Notification,2008-01-30,,,,,P,,P,,,,,,1
A18742,Insert Date Appeal to Prefecture,2008-02-13,,,,,,,,,,,,,1
A18742,Send Appeal to Prefecture,2008-03-08,,,NIL,,,,,,,,,,1
A18742,Add penalty,2008-03-30,74.0,,,,,,,,,,,,1
A18742,Receive Result Appeal from Prefecture,2008-05-26,,,,,,,,,,,,,1
A18742,Notify Result Appeal to Offender,2008-07-17,,,,,,,,,,,,,1
A18881,Create Fine,2007-08-05,36.0,7.0,NIL,,,,,561.0,,0.0,0.0,A,0
A18881,Send Fine,2007-12-10,,,,26.0,,,,,,,,,0
A18881,Insert Fine Notification,2007-12-18,,,,,P,,P,,,,,,0
A18881,Insert Date Appeal to Prefecture,2008-02-05,,,,,,,,,,,,,0
A18881,Add penalty,2008-02-16,74.0,,,,,,,,,,,,0
A18881,Send Appeal to Prefecture,2008-03-03,,,NIL,,,,,,,,,,0
A18881,Receive Result Appeal from Prefecture,2008-03-26,,,,,,,,,,,,,0
A18881,Notify Result Appeal to Offender,2008-04-04,,,,,,,,,,,,,0
A19254,Create Fine,2007-08-13,36.0,157.0,NIL,,,,,561.0,,0.0,0.0,A,0
A19254,Send Fine,2007-12-11,,,,26.0,,,,,,,,,0
A19254,Insert Fine Notification,2007-12-21,,,,,P,,P,,,,,,0
A19254,Add penalty,2008-02-19,74.0,,,,,,,,,,,,0
A19254,Insert Date Appeal to Prefecture,2008-03-03,,,,,,,,,,,,,0
A19254,Send Appeal to Prefecture,2008-04-08,,,NIL,,,,,,,,,,0
A19254,Receive Result Appeal from Prefecture,2008-04-22,,,,,,,,,,,,,0
A19254,Notify Result Appeal to Offender,2008-04-24,,,,,,,,,,,,,0
A20157,Create Fine,2007-09-17,36.0,157.0,NIL,,,,,558.0,,0.0,0.0,A,0
A20157,Send Fine,2008-01-18,,,,26.0,,,,,,,,,0
A20157,Insert Fine Notification,2008-01-28,,,,,P,,P,,,,,,0
A20157,Insert Date Appeal to Prefecture,2008-02-01,,,,,,,,,,,,,0
A20157,Send Appeal to Prefecture,2008-03-03,,,NIL,,,,,,,,,,0
A20157,Receive Result Appeal from Prefecture,2008-03-27,,,,,,,,,,,,,0
A20157,Add penalty,2008-03-28,74.0,,,,,,,,,,,,0
A20157,Notify Result Appeal to Offender,2008-04-01,,,,,,,,,,,,,0
A20843,Create Fine,2007-08-11,36.0,157.0,NIL,,,,,564.0,,0.0,0.0,A,0
A20843,Send Fine,2007-09-13,,,,22.0,,,,,,,,,0
A20843,Insert Fine Notification,2007-10-02,,,,,P,,P,,,,,,0
A20843,Insert Date Appeal to Prefecture,2007-10-30,,,,,,,,,,,,,0
A20843,Add penalty,2007-12-01,74.0,,,,,,,,,,,,0
A20843,Send Appeal to Prefecture,2007-12-07,,,NIL,,,,,,,,,,0
A20843,Receive Result Appeal from Prefecture,2008-01-21,,,,,,,,,,,,,0
A20843,Notify Result Appeal to Offender,2008-01-25,,,,,,,,,,,,,0
A2090,Create Fine,2006-09-14,35.0,157.0,NIL,,,,,537.0,,0.0,0.0,A,1
A2090,Send Fine,2006-12-29,,,,22.0,,,,,,,,,1
A2090,Insert Fine Notification,2007-01-08,,,,,P,,P,,,,,,1
A2090,Add penalty,2007-03-09,71.5,,,,,,,,,,,,1
A2090,Insert Date Appeal to Prefecture,2007-04-12,,,,,,,,,,,,,1
A2090,Send Appeal to Prefecture,2007-06-01,,,NIL,,,,,,,,,,1
A2090,Receive Result Appeal from Prefecture,2007-08-07,,,,,,,,,,,,,1
A2090,Notify Result Appeal to Offender,2007-08-16,,,,,,,,,,,,,1
A21799,Create Fine,2007-08-24,36.0,157.0,NIL,,,,,560.0,,0.0,0.0,A,1
A21799,Send Fine,2007-12-27,,,,26.0,,,,,,,,,1
A21799,Insert Fine Notification,2008-01-05,,,,,P,,P,,,,,,1
A21799,Insert Date Appeal to Prefecture,2008-03-04,,,,,,,,,,,,,1
A21799,Add penalty,2008-03-05,74.0,,,,,,,,,,,,1
A21799,Send Appeal to Prefecture,2008-04-08,,,NIL,,,,,,,,,,1
A21799,Receive Result Appeal from Prefecture,2008-06-11,,,,,,,,,,,,,1
A21799,Notify Result Appeal to Offender,2008-06-16,,,,,,,,,,,,,1
A21826,Create Fine,2007-08-27,36.0,157.0,NIL,,,,,560.0,,0.0,0.0,A,0
A21826,Send Fine,2008-04-17,,,,26.0,,,,,,,,,0
A21826,Insert Fine Notification,2008-04-28,,,,,P,,P,,,,,,0
A21826,Insert Date Appeal to Prefecture,2008-06-19,,,,,,,,,,,,,0
A21826,Add penalty,2008-06-27,74.0,,,,,,,,,,,,0
A21826,Send Appeal to Prefecture,2008-06-27,,,NIL,,,,,,,,,,0
A21826,Receive Result Appeal from Prefecture,2008-07-01,,,,,,,,,,,,,0
A21826,Notify Result Appeal to Offender,2008-07-04,,,,,,,,,,,,,0
A22043,Create Fine,2008-02-07,22.0,7.0,NIL,,,,,557.0,,0.0,0.0,A,0
A22043,Send Fine,2008-06-04,,,,26.0,,,,,,,,,0
A22043,Insert Fine Notification,2008-06-09,,,,,P,,P,,,,,,0
A22043,Insert Date Appeal to Prefecture,2008-08-01,,,,,,,,,,,,,0
A22043,Add penalty,2008-08-08,44.0,,,,,,,,,,,,0
A22043,Send Appeal to Prefecture,2008-09-08,,,NIL,,,,,,,,,,0
A22043,Receive Result Appeal from Prefecture,2008-09-22,,,,,,,,,,,,,0
A22043,Notify Result Appeal to Offender,2008-09-26,,,,,,,,,,,,,0
A22337,Create Fine,2007-08-14,22.0,7.0,NIL,,,,,564.0,,0.0,0.0,A,0
A22337,Send Fine,2007-12-11,,,,26.0,,,,,,,,,0
A22337,Insert Fine Notification,2007-12-21,,,,,P,,P,,,,,,0
A22337,Add penalty,2008-02-19,44.0,,,,,,,,,,,,0
A22337,Insert Date Appeal to Prefecture,2008-03-03,,,,,,,,,,,,,0
A22337,Send Appeal to Prefecture,2008-04-08,,,NIL,,,,,,,,,,0
A22337,Receive Result Appeal from Prefecture,2008-04-22,,,,,,,,,,,,,0
A22337,Notify Result Appeal to Offender,2008-04-24,,,,,,,,,,,,,0
A23324,Create Fine,2007-11-20,36.0,157.0,NIL,,,,,558.0,,0.0,0.0,A,1
A23324,Send Fine,2008-02-09,,,,26.0,,,,,,,,,1
A23324,Insert Fine Notification,2008-02-18,,,,,P,,P,,,,,,1
A23324,Insert Date Appeal to Prefecture,2008-03-03,,,,,,,,,,,,,1
A23324,Send Appeal to Prefecture,2008-04-08,,,NIL,,,,,,,,,,1
A23324,Add penalty,2008-04-18,74.0,,,,,,,,,,,,1
A23324,Receive Result Appeal from Prefecture,2008-06-11,,,,,,,,,,,,,1
A23324,Notify Result Appeal to Offender,2008-07-11,,,,,,,,,,,,,1
A23667,Create Fine,2007-12-22,36.0,157.0,NIL,,,,,541.0,,0.0,0.0,A,1
A23667,Send Fine,2008-02-15,,,,26.0,,,,,,,,,1
A23667,Insert Fine Notification,2008-02-20,,,,,,,P,,,,,,1
A23667,Insert Date Appeal to Prefecture,2008-03-14,,,,,,,,,,,,,1
A23667,Send Appeal to Prefecture,2008-04-08,,,NIL,,,,,,,,,,1
A23667,Add penalty,2008-04-20,74.0,,,,,,,,,,,,1
A23667,Receive Result Appeal from Prefecture,2008-04-22,,,,,,,,,,,,,1
A23667,Notify Result Appeal to Offender,2008-04-24,,,,,,,,,,,,,1
A23740,Create Fine,2008-01-10,36.0,157.0,NIL,,,,,550.0,,0.0,0.0,A,1
A23740,Send Fine,2008-03-01,,,,26.0,,,,,,,,,1
A23740,Insert Fine Notification,2008-03-10,,,,,P,,P,,,,,,1
A23740,Insert Date Appeal to Prefecture,2008-03-20,,,,,,,,,,,,,1
A23740,Send Appeal to Prefecture,2008-04-23,,,NIL,,,,,,,,,,1
A23740,Add penalty,2008-05-09,74.0,,,,,,,,,,,,1
A23740,Receive Result Appeal from Prefecture,2008-06-11,,,,,,,,,,,,,1
A23740,Notify Result Appeal to Offender,2008-07-11,,,,,,,,,,,,,1
A23823,Create Fine,2008-01-05,36.0,157.0,NIL,,,,,558.0,,0.0,0.0,A,1
A23823,Send Fine,2008-03-01,,,,26.0,,,,,,,,,1
A23823,Insert Fine Notification,2008-03-10,,,,,P,,P,,,,,,1
A23823,Insert Date Appeal to Prefecture,2008-03-20,,,,,,,,,,,,,1
A23823,Send Appeal to Prefecture,2008-04-23,,,NIL,,,,,,,,,,1
A23823,Add penalty,2008-05-09,74.0,,,,,,,,,,,,1
A23823,Receive Result Appeal from Prefecture,2008-06-11,,,,,,,,,,,,,1
A23823,Notify Result Appeal to Offender,2008-07-12,,,,,,,,,,,,,1
A2396,Create Fine,2006-09-03,35.0,7.0,NIL,,,,,557.0,,0.0,0.0,A,0
A2396,Send Fine,2006-12-15,,,,22.0,,,,,,,,,0
A2396,Insert Fine Notification,2006-12-22,,,,,P,,P,,,,,,0
A2396,Add penalty,2007-02-20,71.5,,,,,,,,,,,,0
A2396,Insert Date Appeal to Prefecture,2007-03-27,,,,,,,,,,,,,0
A2396,Send Appeal to Prefecture,2007-05-21,,,NIL,,,,,,,,,,0
A2396,Receive Result Appeal from Prefecture,2007-08-06,,,,,,,,,,,,,0
A2396,Notify Result Appeal to Offender,2007-08-11,,,,,,,,,,,,,0
A24387,Create Fine,2008-02-17,36.0,157.0,NIL,,,,,541.0,,0.0,0.0,A,0
A24387,Send Fine,2008-06-04,,,,26.0,,,,,,,,,0
A24387,Insert Fine Notification,2008-06-09,,,,,P,,P,,,,,,0
A24387,Insert Date Appeal to Prefecture,2008-07-08,,,,,,,,,,,,,0
A24387,Add penalty,2008-08-08,74.0,,,,,,,,,,,,0
A24387,Send Appeal to Prefecture,2008-09-01,,,#,,,,,,,,,,0
A24387,Receive Result Appeal from Prefecture,2008-09-12,,,,,,,,,,,,,0
A24387,Notify Result Appeal to Offender,2008-09-18,,,,,,,,,,,,,0
A24454,Create Fine,2007-12-29,36.0,157.0,NIL,,,,,557.0,,0.0,0.0,A,1
A24454,Send Fine,2008-02-09,,,,26.0,,,,,,,,,1
A24454,Insert Fine Notification,2008-02-18,,,,,P,,P,,,,,,1
A24454,Insert Date Appeal to Prefecture,2008-03-03,,,,,,,,,,,,,1
A24454,Send Appeal to Prefecture,2008-04-08,,,NIL,,,,,,,,,,1
A24454,Add penalty,2008-04-18,74.0,,,,,,,,,,,,1
A24454,Receive Result Appeal from Prefecture,2008-06-11,,,,,,,,,,,,,1
A24454,Notify Result Appeal to Offender,2008-07-14,,,,,,,,,,,,,1
A25580,Create Fine,2007-11-23,36.0,157.0,NIL,,,,,559.0,,0.0,0.0,A,0
A25580,Send Fine,2008-02-09,,,,26.0,,,,,,,,,0
A25580,Insert Fine Notification,2008-02-18,,,,,P,,P,,,,,,0
A25580,Insert Date Appeal to Prefecture,2008-04-02,,,,,,,,,,,,,0
A25580,Add penalty,2008-04-18,74.0,,,,,,,,,,,,0
A25580,Send Appeal to Prefecture,2008-04-30,,,NIL,,,,,,,,,,0
A25580,Receive Result Appeal from Prefecture,2008-05-08,,,,,,,,,,,,,0
A25580,Notify Result Appeal to Offender,2008-05-14,,,,,,,,,,,,,0
A25778,Create Fine,2008-06-19,36.0,157.0,NIL,,,,,550.0,,0.0,0.0,A,1
A25778,Send Fine,2008-09-03,,,,26.0,,,,,,,,,1
A25778,Insert Fine Notification,2008-09-08,,,,,P,,P,,,,,,1
A25778,Insert Date Appeal to Prefecture,2008-10-22,,,,,,,,,,,,,1
A25778,Add penalty,2008-11-07,74.0,,,,,,,,,,,,1
A25778,Send Appeal to Prefecture,2008-12-19,,,NIL,,,,,,,,,,1
A25778,Receive Result Appeal from Prefecture,2009-04-30,,,,,,,,,,,,,1
A25778,Notify Result Appeal to Offender,2009-05-11,,,,,,,,,,,,,1
A26413,Create Fine,2008-02-13,22.0,7.0,NIL,,,,,538.0,,0.0,0.0,A,1
A26413,Send Fine,2008-06-04,,,,26.0,,,,,,,,,1
A26413,Insert Fine Notification,2008-06-13,,,,,P,,P,,,,,,1
A26413,Add penalty,2008-08-12,44.0,,,,,,,,,,,,1
A26413,Insert Date Appeal to Prefecture,2008-09-29,,,,,,,,,,,,,1
